Read blend: "/home/user/liuflexrobo/GLIMMER/blend/final/GLIMMER_master.blend"
Fra:590 Mem:135.32M (Peak 135.32M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FX_010_swarm
Fra:590 Mem:135.14M (Peak 135.32M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FX_001_abdomen
Fra:590 Mem:135.16M (Peak 135.32M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FX_001_body
Fra:590 Mem:135.18M (Peak 135.32M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FX_001_wing_L
Fra:590 Mem:135.18M (Peak 135.32M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FX_001_wing_R
Fra:590 Mem:135.18M (Peak 135.32M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FX_010_dot_src
Fra:590 Mem:135.18M (Peak 135.32M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FX_010_swarm
Fra:590 Mem:135.19M (Peak 135.32M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_ff_practical
Fra:590 Mem:135.19M (Peak 135.32M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_sun
Fra:590 Mem:135.19M (Peak 135.32M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_moon
Fra:590 Mem:135.19M (Peak 135.32M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_shaft_0
Fra:590 Mem:135.19M (Peak 135.32M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_shaft_1
Fra:590 Mem:135.19M (Peak 135.32M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_char_fill
Fra:590 Mem:135.19M (Peak 135.32M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_night_rim
Fra:590 Mem:135.19M (Peak 135.32M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_night_fill
Fra:590 Mem:135.19M (Peak 135.32M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_robot_key
Fra:590 Mem:135.96M (Peak 135.96M) | Time:00:00.26 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_antenna
