Read blend: "/home/user/liuflexrobo/GLIMMER/blend/final/GLIMMER_master.blend"
Fra:36 Mem:140.23M (Peak 140.23M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_shoulder_R
Fra:36 Mem:140.26M (Peak 140.26M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_upperarm_R
Fra:36 Mem:140.27M (Peak 140.27M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_forearm_R
Fra:36 Mem:140.28M (Peak 140.28M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_hand_R
Fra:36 Mem:140.33M (Peak 140.33M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_finger_R_index
Fra:36 Mem:140.36M (Peak 140.36M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_chassis
Fra:36 Mem:140.37M (Peak 140.37M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_track_plates_L
Fra:36 Mem:140.41M (Peak 140.41M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_wheel_L_0
Fra:36 Mem:140.42M (Peak 140.42M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_wheel_L_1
Fra:36 Mem:140.43M (Peak 140.43M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_wheel_L_2
Fra:36 Mem:140.43M (Peak 140.43M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_wheel_L_3
Fra:36 Mem:140.44M (Peak 140.44M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_wheel_L_4
Fra:36 Mem:140.45M (Peak 140.45M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_fender_L
Fra:36 Mem:140.46M (Peak 140.46M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_track_plates_R
Fra:36 Mem:140.50M (Peak 140.50M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_wheel_R_0
Fra:36 Mem:140.51M (Peak 140.51M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_wheel_R_1
Fra:36 Mem:140.52M (Peak 140.52M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_wheel_R_2
Fra:36 Mem:140.51M (Peak 140.52M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_wheel_R_3
Fra:36 Mem:140.52M (Peak 140.52M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_wheel_R_4
Fra:36 Mem:140.53M (Peak 140.53M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_fender_R
