Read blend: "/home/user/liuflexrobo/GLIMMER/blend/final/GLIMMER_master.blend"
Fra:590 Mem:139.55M (Peak 139.55M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_hand_L
Fra:590 Mem:139.62M (Peak 139.62M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_shoulder_R
Fra:590 Mem:139.65M (Peak 139.65M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_upperarm_R
Fra:590 Mem:139.66M (Peak 139.66M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_forearm_R
Fra:590 Mem:139.67M (Peak 139.67M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_hand_R
Fra:590 Mem:139.72M (Peak 139.72M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_finger_R_index
Fra:590 Mem:139.75M (Peak 139.75M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_chassis
Fra:590 Mem:139.76M (Peak 139.76M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_track_plates_L
Fra:590 Mem:139.80M (Peak 139.80M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_wheel_L_0
Fra:590 Mem:139.81M (Peak 139.81M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_wheel_L_1
Fra:590 Mem:139.82M (Peak 139.82M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_wheel_L_2
Fra:590 Mem:139.83M (Peak 139.83M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_wheel_L_3
Fra:590 Mem:139.83M (Peak 139.83M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_wheel_L_4
